0.3,0.25,-0.29,-88.99,-55.79,-72.29,0.42,0.5,0.6,-14.39,-49.09,84.36,0
0.58,0.29,-0.27,-83.81,-55.7,-140.37,0.58,0.42,0.4,0.58,-95.34,122.9,0
0.86,0.49,-0.33,-74.82,-52.8,-195.55,0.73,0.19,0.15,-5.58,-137.29,152.04,0
1.2,0.53,-0.37,-61.4,-52.9,-242.53,0.93,0.02,-0.01,-3.35,-178.84,172.32,0
1.54,0.58,-0.38,-44.33,-48.87,-290.03,1.22,0.07,-0.04,41.62,-218.81,192.96,0
1.84,0.6,-0.37,-27.68,-45.91,-330.61,1.45,0.3,-0.13,67.84,-240.61,205.15,0
2.16,0.72,-0.46,-34.09,-58.9,-353.78,1.64,0.4,-0.4,58.26,-252.56,221.71,0
2.48,0.59,-0.56,-40.24,-72.13,-359.94,1.93,0.37,-0.52,27.26,-248.14,230.73,0
2.62,0.45,-0.42,-30.43,-77.93,-357.1,1.97,0.18,-0.54,38.6,-236.65,226.07,0
2.74,0.18,-0.31,-0.09,-81.95,-341.01,2.0,0.41,-0.6,48.81,-226.74,218.45,0
2.74,-0.08,-0.2,41.28,-82.1,-306.4,2.16,0.65,-0.53,41.59,-199.66,209.97,0
2.81,-0.3,-0.15,49.24,-87.87,-252.38,2.29,0.55,-0.39,29.24,-148.81,186.71,0
3.04,-0.69,-0.06,19.21,-87.16,-189.02,2.46,0.71,-0.16,70.91,-104.63,159.79,0
3.1,-0.96,0.13,-7.62,-79.24,-121.28,2.54,1.19,0.33,66.25,-77.32,135.03,0
2.96,-1.32,0.23,-39.6,-74.3,-67.9,2.51,1.53,0.62,18.72,-42.77,110.91,0
2.73,-1.65,0.18,-64.05,-67.65,-19.79,2.2,1.46,0.88,-24.33,-7.47,90.7,0
2.19,-2.0,0.24,-73.6,-59.21,14.63,1.65,1.53,1.18,15.06,15.61,60.55,0
1.49,-2.36,0.57,-55.3,-51.28,49.82,0.93,1.84,1.26,1.43,48.75,41.74,0
0.88,-2.77,1.1,-7.35,-29.24,88.02,0.02,1.78,1.36,0.24,84.45,8.08,0
0.22,-2.64,1.11,6.89,5.79,134.12,-0.58,1.53,1.53,-28.63,98.84,-49.36,0
-0.19,-2.64,0.98,-14.73,38.02,202.47,-0.91,1.2,1.32,-81.65,132.87,-111.98,0
-0.46,-2.18,1.06,-24.73,67.41,273.05,-1.3,0.93,0.89,-90.46,186.04,-167.9,0
-0.51,-1.6,0.91,24.48,96.04,329.82,-1.51,0.64,0.41,-108.54,218.26,-240.0,0
-0.31,-0.96,0.56,87.2,121.55,359.24,-1.31,0.39,0.13,-71.83,251.95,-277.99,0
