0.99,-0.09,0.13,-1.65,0.58,0.85,0.96,0.27,0.04,2.35,0.64,-1.83,3
0.99,-0.09,0.13,-2.5,0.7,0.85,0.96,0.27,0.04,0.88,0.76,-1.46,3
0.98,-0.09,0.13,-2.01,0.18,0.85,0.96,0.26,0.04,0.55,0.67,-1.07,3
0.98,-0.1,0.14,-1.37,0.34,0.58,0.95,0.26,0.03,1.22,0.91,-1.1,3
0.98,-0.1,0.13,-1.68,0.15,0.82,0.94,0.25,0.03,2.29,0.52,-1.68,3
0.98,-0.1,0.13,-1.43,0.37,0.64,0.95,0.26,0.04,3.54,0.09,-1.86,3
0.99,-0.1,0.13,-1.25,0.49,0.24,0.96,0.27,0.04,2.53,-0.15,-1.46,3
0.99,-0.09,0.12,-1.92,0.24,-0.03,0.96,0.27,0.03,0.4,0.12,-1.19,3
0.98,-0.09,0.13,-2.47,0.06,0.06,0.95,0.26,0.03,-0.43,0.52,-0.95,3
0.98,-0.1,0.12,-2.44,0.18,0.46,0.96,0.25,0.04,1.04,0.15,-1.59,3
0.98,-0.1,0.13,-1.19,0.24,0.34,0.95,0.26,0.04,3.23,-0.3,-1.55,3
0.99,-0.1,0.14,-0.95,0.27,0.27,0.95,0.26,0.04,3.11,-0.46,-1.31,3
0.98,-0.09,0.13,-1.92,0.12,0.21,0.95,0.26,0.04,1.86,0.15,-1.34,3
0.99,-0.1,0.13,-2.26,-0.03,0.15,0.96,0.26,0.04,0.09,0.12,-1.25,3
0.98,-0.1,0.13,-2.5,0.15,0.06,0.95,0.26,0.05,-0.09,0.18,-1.19,3
0.99,-0.1,0.12,-3.02,0.34,0.27,0.95,0.26,0.04,0.52,0.03,-1.25,3
0.98,-0.09,0.12,-3.75,0.21,0.76,0.95,0.26,0.03,0.0,-0.03,-1.37,3
0.99,-0.09,0.12,-4.18,0.27,1.07,0.95,0.26,0.04,-0.4,0.18,-1.13,3
0.98,-0.1,0.12,-3.93,-0.03,1.01,0.96,0.26,0.04,-0.55,0.21,-0.7,3
0.98,-0.09,0.12,-4.09,-0.3,1.04,0.96,0.26,0.04,-1.04,0.3,-0.52,3
0.99,-0.09,0.12,-5.0,-0.24,0.79,0.95,0.26,0.04,-1.55,0.06,-0.55,3
0.98,-0.09,0.12,-5.67,-0.73,0.95,0.95,0.26,0.03,-1.98,-0.12,-0.37,3
